砍耫布菌︽薄
布腹,2646
布嘿,琍
戈る,11309る
,筿福某基翴匡Θユ,,,,,,╰参某基Θユ
"ら戳","Θユ计","Θユ肂(じ)","Θユ程蔼","Θユ程","ΘユА基","掸计","Θユ计","Θユ肂(じ)","Θユ程蔼","Θユ程","ΘユА基","掸计"
"113/09/02","4,375,869","125,701,524","29.05","28.55","28.73","1,843","0","0","0.00","0.00","0.00","0"
"113/09/03","2,685,365","76,821,639","28.75","28.50","28.61","1,360","0","0","0.00","0.00","0.00","0"
"113/09/04","6,704,770","188,984,398","28.50","27.80","28.19","2,536","0","0","0.00","0.00","0.00","0"
"113/09/05","3,678,507","104,450,391","28.70","28.20","28.39","1,734","0","0","0.00","0.00","0.00","0"
"113/09/06","2,589,340","73,225,645","28.45","28.15","28.28","1,038","0","0","0.00","0.00","0.00","0"
"113/09/09","3,714,932","104,363,231","28.35","27.90","28.09","1,430","0","0","0.00","0.00","0.00","0"
"113/09/10","3,463,274","96,956,742","28.25","27.85","28.00","1,568","0","0","0.00","0.00","0.00","0"
"113/09/11","2,069,751","57,873,607","28.10","27.85","27.96","992","0","0","0.00","0.00","0.00","0"
"113/09/12","2,696,083","75,414,961","28.10","27.85","27.97","1,030","0","0","0.00","0.00","0.00","0"
"113/09/13","3,552,400","99,996,812","28.30","27.90","28.15","1,143","0","0","0.00","0.00","0.00","0"
"113/09/16","2,382,701","66,834,544","28.20","27.90","28.05","959","0","0","0.00","0.00","0.00","0"
"113/09/18","4,670,152","131,861,676","28.50","28.00","28.23","1,557","0","0","0.00","0.00","0.00","0"
"113/09/19","3,200,877","90,165,606","28.30","28.05","28.17","1,229","0","0","0.00","0.00","0.00","0"
"113/09/20","3,957,698","112,034,783","28.45","28.15","28.31","1,211","0","0","0.00","0.00","0.00","0"
"113/09/23","14,972,247","433,163,611","29.20","28.20","28.93","5,119","0","0","0.00","0.00","0.00","0"
"113/09/24","35,087,334","1,048,892,359","30.25","29.05","29.89","12,434","0","0","0.00","0.00","0.00","0"
"113/09/25","34,703,842","1,080,022,429","31.55","30.00","31.12","11,823","0","0","0.00","0.00","0.00","0"
"113/09/26","43,695,226","1,360,454,193","31.85","30.30","31.14","15,211","0","0","0.00","0.00","0.00","0"
"113/09/27","11,532,618","351,867,833","31.00","30.30","30.51","4,303","0","0","0.00","0.00","0.00","0"
"113/09/30","10,192,432","311,946,628","30.80","30.40","30.61","3,567","0","0","0.00","0.00","0.00","0"
