砍耫布菌︽薄
布腹,8272
布嘿,春硁砰
戈る,11309る
,筿福某基翴匡Θユ,,,,,,╰参某基Θユ
"ら戳","Θユ计","Θユ肂(じ)","Θユ程蔼","Θユ程","ΘユА基","掸计","Θユ计","Θユ肂(じ)","Θユ程蔼","Θユ程","ΘユА基","掸计"
"113/09/02","10,464","948,210","93.00","89.80","90.62","28","0","0","0.00","0.00","0.00","0"
"113/09/03","8,740","793,716","91.80","89.00","90.81","29","0","0","0.00","0.00","0.00","0"
"113/09/04","21,976","1,979,555","93.00","88.40","90.08","51","0","0","0.00","0.00","0.00","0"
"113/09/05","23,439","2,118,104","91.90","89.70","90.37","42","0","0","0.00","0.00","0.00","0"
"113/09/06","69,999","6,785,170","104.50","90.30","96.93","113","0","0","0.00","0.00","0.00","0"
"113/09/09","36,330","3,540,732","100.00","95.00","97.46","84","0","0","0.00","0.00","0.00","0"
"113/09/10","42,798","3,972,148","98.00","91.60","92.81","85","0","0","0.00","0.00","0.00","0"
"113/09/11","53,830","4,862,054","92.00","89.80","90.32","91","0","0","0.00","0.00","0.00","0"
"113/09/12","8,391","760,859","91.10","89.80","90.68","45","0","0","0.00","0.00","0.00","0"
"113/09/13","5,531","501,345","91.40","90.30","90.64","29","0","0","0.00","0.00","0.00","0"
"113/09/16","2,159","196,888","91.20","89.80","91.19","10","0","0","0.00","0.00","0.00","0"
"113/09/18","8,851","797,109","91.30","89.80","90.06","27","0","0","0.00","0.00","0.00","0"
"113/09/19","11,177","1,011,915","91.00","90.40","90.54","20","0","0","0.00","0.00","0.00","0"
"113/09/20","23,469","2,127,761","91.50","90.00","90.66","23","0","0","0.00","0.00","0.00","0"
"113/09/23","16,670","1,523,945","93.30","90.30","91.42","29","0","0","0.00","0.00","0.00","0"
"113/09/24","22,427","2,036,426","93.20","90.10","90.80","40","0","0","0.00","0.00","0.00","0"
"113/09/25","120,861","11,590,114","98.80","91.10","95.90","157","0","0","0.00","0.00","0.00","0"
"113/09/26","127,088","12,834,303","104.50","97.10","100.99","191","0","0","0.00","0.00","0.00","0"
"113/09/27","97,091","10,190,526","108.50","103.00","104.96","168","0","0","0.00","0.00","0.00","0"
"113/09/30","96,678","9,614,099","105.00","97.70","99.44","121","0","0","0.00","0.00","0.00","0"
