證券代號,證券名稱,投標開始日,投標結束日,開標日期,撥券日期(上市、上櫃日期),類別,上櫃前2周參考價,上櫃前4周參考價,上櫃後1天收盤價,上櫃後2天收盤價,上櫃後5天收盤價
8272,全景軟體,2024/10/02,2024/10/04,2024/10/08,2024/10/23,資訊服務業,?,?,?,?,?
2646,星宇航空,2024/10/04,2024/10/08,2024/10/11,2024/10/25,航運業,?,?,?,?,?
7708,全家餐飲,2024/10/25,2024/10/29,2024/10/31,2024/11/14,觀光餐旅,?,?,?,?,?
